iter	Passed	Remaining
0	1	131
1	2	121
2	3	116
3	4	113
4	6	115
5	7	112
6	8	109
7	9	107
8	10	105
9	11	103
10	12	102
11	13	101
12	15	101
13	16	99
14	17	98
15	18	97
16	19	95
17	20	94
18	21	92
19	22	91
20	24	90
21	25	88
22	26	87
23	27	86
24	28	85
25	29	83
26	30	82
27	31	81
28	32	79
29	33	78
30	34	77
31	35	76
32	37	75
33	38	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	44	66
40	45	65
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	51
54	61	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	73	38
66	74	36
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	94	17
84	95	16
85	96	15
86	97	14
87	97	13
88	99	12
89	99	11
90	101	9
91	102	8
92	103	7
93	104	6
94	106	5
95	107	4
96	108	3
97	109	2
98	111	1
99	112	0
