iter	Passed	Remaining
0	178	178650
1	243	121508
2	251	83528
3	254	63350
4	257	51217
5	267	44292
6	271	38468
7	276	34237
8	279	30779
9	281	27860
10	282	25424
11	284	23396
12	285	21677
13	286	20206
14	291	19143
15	296	18245
16	310	17927
17	311	17004
18	313	16188
19	316	15494
20	325	15159
21	327	14543
22	329	13981
23	330	13435
24	331	12930
25	337	12628
26	338	12210
27	340	11809
28	341	11436
29	342	11088
30	344	10766
31	345	10455
32	346	10164
33	347	9886
34	350	9662
35	353	9463
36	369	9621
37	389	9865
38	397	9795
39	399	9593
40	406	9515
41	408	9324
42	410	9128
43	411	8938
44	412	8759
45	414	8591
46	415	8425
47	417	8273
48	418	8119
49	421	8007
50	423	7883
51	425	7756
52	429	7671
53	430	7544
54	431	7422
55	433	7304
56	436	7216
57	438	7113
58	439	7006
59	440	6904
60	441	6803
61	443	6707
62	444	6612
63	446	6524
64	447	6440
65	448	6351
66	452	6298
67	454	6226
68	455	6146
69	456	6068
70	458	5995
71	459	5923
72	461	5855
73	462	5786
74	463	5721
75	468	5693
76	469	5632
77	476	5637
78	482	5619
79	483	5565
80	485	5507
81	486	5448
82	487	5384
83	488	5330
84	490	5283
85	496	5274
86	497	5224
87	499	5173
88	500	5123
89	501	5074
90	503	5030
91	506	4994
92	508	4958
93	510	4920
94	511	4875
95	513	4839
96	515	4796
97	516	4754
98	517	4712
99	519	4674
100	520	4635
101	522	4601
102	524	4570
103	525	4531
104	527	4494
105	528	4456
106	529	4421
107	531	4392
108	536	4382
109	542	4387
110	544	4357
111	545	4324
112	546	4292
113	548	4259
114	549	4227
115	551	4200
116	552	4167
117	554	4144
118	555	4114
119	556	4083
120	558	4056
121	559	4025
122	560	3997
123	561	3969
124	563	3942
125	564	3917
126	565	3890
127	569	3878
128	570	3852
129	571	3827
130	573	3802
131	574	3777
132	575	3752
133	576	3728
134	578	3704
135	579	3681
136	580	3657
137	582	3641
138	584	3621
139	586	3600
140	587	3578
141	588	3554
142	589	3533
143	590	3512
144	591	3490
145	593	3469
146	594	3448
147	595	3428
148	598	3418
149	599	3399
150	602	3385
151	603	3368
152	605	3350
153	606	3331
154	607	3311
155	608	3292
156	609	3273
157	610	3254
158	613	3246
159	615	3229
160	616	3210
161	617	3196
162	620	3187
163	621	3169
164	623	3153
165	624	3136
166	625	3119
167	626	3103
168	629	3093
169	630	3078
170	632	3064
171	633	3048
172	634	3031
173	635	3014
174	636	2998
175	636	2982
176	637	2966
177	639	2951
178	640	2936
179	642	2925
180	643	2913
181	645	2899
182	646	2886
183	647	2871
184	648	2856
185	649	2842
186	650	2827
187	651	2813
188	652	2799
189	653	2785
190	654	2771
191	655	2757
192	657	2749
193	658	2737
194	659	2724
195	660	2711
196	661	2698
197	663	2686
198	664	2674
199	665	2662
200	666	2649
201	667	2637
202	668	2625
203	669	2612
204	672	2608
205	673	2596
206	674	2584
207	675	2572
208	676	2561
209	677	2549
210	678	2537
211	679	2525
212	680	2514
213	681	2503
214	682	2492
215	683	2482
216	684	2471
217	686	2463
218	687	2452
219	688	2441
220	689	2430
221	690	2419
222	691	2408
223	692	2398
224	693	2388
225	694	2377
226	695	2367
227	696	2357
228	697	2347
229	698	2337
230	699	2328
231	701	2321
232	702	2312
233	703	2302
234	704	2293
235	705	2283
236	706	2274
237	707	2264
238	708	2254
239	709	2245
240	710	2236
241	711	2228
242	712	2219
243	713	2210
244	715	2205
245	716	2197
246	717	2188
247	718	2179
248	719	2171
249	721	2163
250	721	2154
251	722	2145
252	723	2136
253	724	2128
254	725	2120
255	727	2112
256	730	2111
257	731	2104
258	732	2096
259	734	2089
260	735	2083
261	737	2076
262	738	2069
263	740	2065
264	742	2059
265	743	2051
266	746	2048
267	747	2042
268	748	2035
269	750	2028
270	751	2021
271	752	2014
272	753	2007
273	755	2001
274	756	1995
275	758	1988
276	760	1985
277	762	1979
278	763	1973
279	765	1967
280	766	1962
281	768	1957
282	770	1951
283	772	1946
284	773	1940
285	776	1937
286	777	1931
287	778	1924
288	780	1919
289	781	1913
290	783	1907
291	784	1901
292	785	1895
293	786	1888
294	787	1882
295	788	1876
296	791	1874
297	792	1867
298	794	1861
299	795	1855
300	797	1852
301	799	1846
302	800	1841
303	801	1835
304	803	1830
305	804	1823
306	806	1820
307	807	1814
308	808	1808
309	810	1803
310	811	1797
311	812	1791
312	813	1785
313	814	1779
314	815	1773
315	816	1768
316	818	1763
317	820	1760
318	821	1754
319	823	1750
320	825	1745
321	827	1741
322	829	1737
323	830	1733
324	832	1729
325	835	1727
326	837	1724
327	839	1719
328	841	1715
329	848	1721
330	849	1717
331	853	1717
332	855	1714
333	858	1711
334	859	1706
335	861	1702
336	864	1700
337	868	1702
338	879	1714
339	883	1715
340	887	1714
341	889	1710
342	890	1706
343	892	1702
344	894	1698
345	898	1697
346	899	1692
347	901	1688
348	902	1683
349	903	1678
350	905	1673
351	906	1668
352	907	1663
353	908	1658
354	910	1653
355	912	1651
356	913	1645
357	914	1640
358	916	1637
359	918	1632
360	919	1627
361	921	1624
362	923	1621
363	928	1621
364	930	1618
365	932	1615
366	934	1611
367	936	1607
368	937	1604
369	941	1602
370	942	1598
371	944	1593
372	946	1590
373	948	1586
374	949	1583
375	953	1581
376	957	1581
377	959	1578
378	961	1575
379	963	1571
380	965	1568
381	967	1565
382	978	1577
383	981	1574
384	983	1571
385	985	1567
386	993	1573
387	994	1569
388	996	1565
389	999	1563
390	1003	1563
391	1008	1564
392	1013	1565
393	1022	1572
394	1024	1568
395	1026	1565
396	1028	1562
397	1030	1558
398	1036	1561
399	1038	1557
400	1059	1581
401	1065	1585
402	1070	1585
403	1072	1582
404	1075	1579
405	1078	1578
406	1080	1574
407	1085	1575
408	1088	1572
409	1090	1569
410	1093	1567
411	1095	1563
412	1102	1566
413	1104	1564
414	1106	1559
415	1108	1555
416	1109	1551
417	1113	1550
418	1118	1550
419	1119	1546
420	1122	1543
421	1124	1539
422	1127	1537
423	1130	1535
424	1132	1532
425	1134	1528
426	1136	1524
427	1146	1532
428	1149	1530
429	1151	1526
430	1153	1522
431	1156	1520
432	1162	1521
433	1163	1517
434	1165	1513
435	1166	1508
436	1167	1504
437	1172	1504
438	1177	1504
439	1179	1501
440	1180	1496
441	1181	1491
442	1183	1487
443	1187	1486
444	1192	1487
445	1194	1483
446	1197	1481
447	1198	1477
448	1200	1473
449	1202	1469
450	1209	1471
451	1210	1467
452	1212	1463
453	1213	1459
454	1214	1454
455	1215	1450
456	1217	1446
457	1218	1442
458	1223	1442
459	1225	1438
460	1226	1433
461	1227	1429
462	1229	1425
463	1232	1423
464	1233	1419
465	1239	1420
466	1241	1416
467	1242	1412
468	1243	1408
469	1244	1403
470	1246	1399
471	1249	1397
472	1257	1400
473	1258	1396
474	1259	1392
475	1261	1388
476	1262	1384
477	1264	1381
478	1270	1381
479	1272	1378
480	1274	1375
481	1276	1371
482	1277	1367
483	1279	1364
484	1281	1360
485	1284	1358
486	1285	1354
487	1286	1350
488	1288	1346
